x,y,is_wall
0.74,0.36,1
-0.25,-0.07,1
0.81,-0.36,1
-0.05,-0.39,1
-0.04,-0.39,1
0.72,0.31,0
-0.23,-0.12,1
-0.23,-0.08,1
0.72,0.35,1
0.83,-0.37,1
2.37,-0.66,0
0.94,-0.38,1
1.34,-0.25,1
0.14,-0.39,1
-0.03,-0.4,1
-0.22,0.12,1
1.8,-0.67,0
1.31,-0.24,1
0.64,0.35,1
0.91,-0.37,1
-0.02,-0.39,1
-0.23,0.12,1
1.32,-0.24,1
0.92,-0.37,1
1.36,0.12,1
0.56,0.38,1
0.82,-0.38,1
-0.24,-0.09,1
0.73,0.34,1
1.34,-0,1
0.94,0.13,1
0.14,0.39,1
-0.03,0.4,1
-0.01,-0.39,1
-0.25,-0.33,1
-0.23,0.37,1
-0,-0.39,1
1.36,-0.07,0
0.01,-0.4,1
0.02,-0.4,1
0.03,-0.4,1
0.04,-0.4,1
1.38,-0.07,1
0.08,-0.4,1
0.09,-0.4,1
0.1,-0.4,1
-0.09,0.41,1
0.08,0.4,1
0.88,0.14,1
0.11,-0.4,1
0.12,-0.4,1
1.33,-0.01,1
0.13,-0.4,1
1.34,-0.01,1
0.14,-0.4,1
1.35,-0.01,1
0.15,-0.4,1
1.34,-0.12,1
1.36,-0.01,1
0.16,-0.4,1
1.37,-0.01,1
0.17,-0.4,1
1.36,-0.12,1
1.38,-0.01,1
0.18,-0.4,1
1.37,-0.12,1
0.2,-0.4,1
0.21,-0.4,1
